0,1,2,3,4,5,6,7,8,9,10
compagni,Activité,Adresse,C.P.,Ville,phone,Mobile,Email,Commentary,Rappel,RDV
gtgt,tgtg,tgtg,tggt,ttg,tgtg,ttg,ttg,,,
"Robert Blouzard","Architectes (profession)","bât Mb Cite De L Entreprise. 200 bd Résistance",71000,MACON,0385203577,,,,,
"Atelier Plan de Vol","Architectes (profession)","10 quai Marans",71000,MACON,0358191322,,,,,
"Benoit Richard","Architectes (profession)","128 r Pouilly Vinzelles",71000,MACON,0385384646,,,,,
"Chambaud Architectes","Architectes (profession)","5 Bis bd Rocca",71000,MACON,0385229022,,,,,
Translucide,"Architectes (profession)","78 r Dinet",71000,MACON,0385213979,,,,,
"Agence D'Architecture Jaillet","Architectes (profession)","50 r Dufour",71000,MACON,0385385746,,,,,
"Habitat Rural Architecture SARL","Architectes (profession)","11 av Bel Horizon",71000,MACON,0385384970,,,,,
"Robin Architectes Associés","Architectes (profession)","74 quai Jean Jaurès",71000,MACON,0385384729,,,,,
"Belloncle Thierry","Architectes (profession)","15 av Michel Leroy",70800,"SAINT LOUP SUR SEMOUSE",0384942405,,,,,
"Roussey Catherine","Architectes (profession)","5 r Grammont",70300,"LUXEUIL LES BAINS",0384404331,,,,,
"Thierry Gheza Architecte DPLG","Architectes (profession)","2 rte Pellevin",70270,ECROMAGNY,0384632486,,,,,
"Ambiance Et Atmosphère","Architectes (profession)","9 r Albert Mathiez",70200,LURE,0384302697,,,,,
"L'atelier Architecture (SARL)","Architectes (profession)","Za La Charriere imm Le Centaur r Isaac Newton",70190,RIOZ,0384760752,,,,,
"Rochet-blanc Gérald","Architectes (profession)","2 chem Coupotte",70190,"LE CORDONNET",0384324532,,,,,
"Idéa Concept Architecture","Architectes (profession)","4 r Ecoles",70190,BOULT,0384917661,,,,,
"Guillaume Pierre","Architectes (profession)","Gare Acdemenne",70150,BRUSSEY,,,,,,
"B Quirot Architecte Et As","Architectes (profession)","r Châteaux",70140,PESMES,0384312799,,,,,
"Soteb Architecture","Architectes (profession)","1 r Giranaux",70100,"ARC LES GRAY",0384651320,,,,,
"Petitperrin Dominique","Architectes (profession)","67 r St Martin",70000,VESOUL,0384764293,,,,,
"BOUVIER RENE","Architectes (profession)","15 pl Pierre Renet",70000,VESOUL,0384761942,,,,,
"Jacquet Patrice","Architectes (profession)","3 r Petitclerc",70000,VESOUL,0384765996,,,,,
"Januel Mary","Architectes (profession)","105 r Baron Bouvier",70000,VESOUL,0384971767,,,,,
"Atelier d'Architecture et de Scénographie (François Destors)","Architectes (profession)","Le Bourg",69840,CENVES,0474696398,,,,,
"Germain Patricia","Architectes (profession)","2 Ter r Belfort Soppe le Haut",68780,"LE HAUT SOULTZBACH",0389828911,,,,,
"Atelier d'architecture Videau","Architectes (profession)","4 imp André Marie Ampère",58640,"VARENNES VAUZELLES",0386939700,,,,,
"Allard Guy","Architectes (profession)","4 av Acacias",58640,"VARENNES VAUZELLES",0983217820,,,,,
"Architecture Follea SCP","Architectes (profession)","4 pl Emile Zola",58500,CLAMECY,0386248649,,,,,
"Jackman Allain Charlotte","Architectes (profession)","5 r Clos",58400,"LA CHARITE SUR LOIRE",0386701624,,,,,
"Froidevaux Denis","Architectes (profession)","8 r Etang",58310,"SAINT VERAIN",0386399001,,,,,
"Cibik Bernard","Architectes (profession)","1 r Haute Meule",58260,"LA MACHINE",,,,,,
"SCP D'Architecture Perrin Recoules","Architectes (profession)","Outre Cure",58230,"MONTSAUCHE LES SETTONS",0386760421,,,,,
"Tabbagh Werner Graziani","Architectes (profession)","19 r Alphonse Baudin",58200,"COSNE COURS SUR LOIRE",0386269493,,,,,
"Normier Philippe","Architectes (profession)","la Montée",58140,BRASSY,,,,,,
"Bentejac Camille","Architectes (profession)","10 rte Montmiens",58130,"SAINT MARTIN D'HEUILLE",0963414977,,,,,
"Atelier d'Architecture Bentejac","Architectes (profession)","lieu-dit Montmiens",58130,"SAINT MARTIN D'HEUILLE",0386578331,,,,,
"Mallard Pascal","Architectes (profession)","15 r Louis Vicat, Bat 4",58000,NEVERS,0386214657,,,,,
"Warnant Patrice","Architectes (profession)","15 r Fer",58000,NEVERS,0386599000,,,,,
"Gaillard Alain","Architectes (profession)","26 bd Victor Hugo",58000,NEVERS,,,,,,
ARKEDIF,"Architectes (profession)","5 r Marguerite Duras",58000,NEVERS,0386215129,,,,,
"De La Chapelle Olivier","Architectes (profession)","33 Grande Rue",39800,POLIGNY,0384372513,,,,,
"Marco Thierry","Architectes (profession)","48 av Pasteur",39600,ARBOIS,,,,,,
"Bonnivard Guy","Architectes (profession)","50 av Pasteur",39600,ARBOIS,,0607491229,,,,
"Ta Is","Architectes (profession)","43 r Wladimir Gagneur, Morez",39400,"HAUTS DE BIENNE",,"No Prospect",,,,
"Crozat . Pierre","Architectes (profession)","54 r Val D'Amour",39380,"LA LOYE",,,,,,
"Dole Claude","Architectes (profession)","16 r Eglise",39380,"CHISSEY SUR LOUE",,0685107255,,,,
"Architecture Atelier des Montaines","Architectes (profession)","31 r Montaines",39360,ROGNA,0961509838,0608530869,,,,
"Atelier d'Architecture Tissot Sandrine (EURL)","Architectes (profession)","38 chem Valentenouze",39300,CHAMPAGNOLE,0384525077,,,,,
"Poucheux Guy","Architectes (profession)","29 r Mar Foch",39300,CHAMPAGNOLE,0384520816,,,,,
"Sogno Roger","Architectes (profession)","r Charles Delorme",39240,THOIRETTE,0474768193,,,,,
Bespaces,"Architectes (profession)","109 che Eglise",39210,FRONTENAY,,0770846888,,,,
"Marcel Christophe","Architectes (profession)","66 r Poyat",39200,"SAINT CLAUDE",,0608314929,,,,
"Lizée Benoît","Architectes (profession)","33 r Travail",39200,"SAINT CLAUDE",0384331749,,,,,
"LAZZAROTTO FLUIDES","Architectes (profession)","9 montée St Romain",39200,"SAINT CLAUDE",0384456028,,,,,
"Brustel Alain","Architectes (profession)","3 r Mercière",39200,"SAINT CLAUDE",0384456156,,,,,
"Gougeon ARCHITECTURE","Architectes (profession)","36 imp du Lizon",39170,"LAVANS LES SAINT CLAUDE",,0609187196,,,,
"Charvet Alain","Architectes (profession)","sq Carlet",39160,"SAINT AMOUR",0384440339,,,,,
"Devaux Antoine","Architectes (profession)","20 pl la Fontaine",39130,"PONT DE POITTE",,0695989371,,,,
"Amiot Perrin-Mazier Jacqueline","Architectes (profession)","Grande Rue",39100,"VILLETTE LES DOLE",0384824742,,,,,
"Deloge Aymeric","Architectes (profession)","20 av Landon",39100,DOLE,,0621425358,,,,
"Serge Roux Architecte DPLG (SARL)","Architectes (profession)","188 av Jacques Duhamel",39100,DOLE,0384828700,,,,,
"Gorguès Marion","Architectes (profession)","28 Grande Rue",39100,DOLE,0384706932,0661333890,,,,
"Hervé Boudier Architecte DPLG","Architectes (profession)","30 av Mar Juin",39100,DOLE,0384720743,,,,,
"Kayi Sevin","Architectes (profession)","185 Bis av Landon",39100,DOLE,0384825218,,,,,
"Schouvey Christian","Architectes (profession)","2 quai Pasteur",39100,DOLE,0384791421,,,,,
"Barreau Thierry (Eurl)","Architectes (profession)","2 r Blanche de buxy",39100,DOLE,0384720441,,,,,
AD+,"Architectes (profession)","21 av Thurel",39000,"LONS LE SAUNIER",0384471362,,,,,
"Just Alain","Architectes (profession)","62 Bis r Salines",39000,"LONS LE SAUNIER",0384471275,,,,,
"Reichardt Ferreux Architectes","Architectes (profession)","170 r Doct Jean Michel",39000,"LONS LE SAUNIER",0384474161,,,,,
"ATELIER ZOU SAS","Architectes (profession)","14 av Aristide Briand",39000,"LONS LE SAUNIER",,0678960857,,,,
"C.A.U.E (Conseil Architecture Urbanisme Environnement du Jura)","Architectes (profession)","151 r Regard",39000,"LONS LE SAUNIER",0384243036,,,,,
